"year","sex","val","max","min","region_name"
1990,"Female",0.00305359249567761,0.00381699061959701,0.00229019437175821,"Mpumalanga"
1990,"Male",0.00484239545278193,0.00605299431597741,0.00363179658958645,"Mpumalanga"
1991,"Female",0.003039976611228,0.00379997076403499,0.002279982458421,"Mpumalanga"
1991,"Male",0.00509047486890535,0.00636309358613169,0.00381785615167901,"Mpumalanga"
1992,"Female",0.00355638243328296,0.0044454780416037,0.00266728682496222,"Mpumalanga"
1992,"Male",0.00551745962390771,0.00689682452988463,0.00413809471793078,"Mpumalanga"
1993,"Female",0.00260057758408446,0.00325072198010558,0.00195043318806335,"Mpumalanga"
1993,"Male",0.00471634820391536,0.0058954352548942,0.00353726115293652,"Mpumalanga"
1994,"Female",0.00299584321889789,0.00374480402362236,0.00224688241417342,"Mpumalanga"
1994,"Male",0.0049171201347519,0.00614640016843988,0.00368784010106393,"Mpumalanga"
1995,"Female",0.00180351081799198,0.00225438852248998,0.00135263311349399,"Mpumalanga"
1995,"Male",0.00495556430042191,0.00619445537552739,0.00371667322531643,"Mpumalanga"
1996,"Female",0.00179847176683945,0.00224808970854931,0.00134885382512958,"Mpumalanga"
1996,"Male",0.00518342251166042,0.00647927813957553,0.00388756688374532,"Mpumalanga"
1997,"Female",0.00220322167397429,0.00275402709246786,0.00165241625548072,"Mpumalanga"
1997,"Male",0.00529780436922692,0.00662225546153365,0.00397335327692019,"Mpumalanga"
1998,"Female",0.00221775578750786,0.00277219473438482,0.00166331684063089,"Mpumalanga"
1998,"Male",0.00597738707282154,0.00747173384102692,0.00448304030461615,"Mpumalanga"
1999,"Female",0.00248459029081148,0.00310573786351435,0.00186344271810861,"Mpumalanga"
1999,"Male",0.00620065736796882,0.00775082170996103,0.00465049302597662,"Mpumalanga"
2000,"Female",0.00305701674353446,0.00382127092941807,0.00229276255765084,"Mpumalanga"
2000,"Male",0.00674822808756176,0.0084352851094522,0.00506117106567132,"Mpumalanga"
2001,"Female",0.00283594072002747,0.00354492590003434,0.0021269555400206,"Mpumalanga"
2001,"Male",0.00630100087668587,0.00787625109585733,0.0047257506575144,"Mpumalanga"
2002,"Female",0.00307549102569368,0.0038443637821171,0.00230661826927026,"Mpumalanga"
2002,"Male",0.00645700684110864,0.0080712585513858,0.00484275513083148,"Mpumalanga"
2003,"Female",0.00356532141530155,0.00445665176912694,0.00267399106147616,"Mpumalanga"
2003,"Male",0.00707821487180728,0.0088477685897591,0.00530866115385546,"Mpumalanga"
2004,"Female",0.00377624433911402,0.00472030542389252,0.00283218325433551,"Mpumalanga"
2004,"Male",0.00675281440096154,0.00844101800120192,0.00506461080072115,"Mpumalanga"
2005,"Female",0.00401508411874466,0.00501885514843082,0.00301131308905849,"Mpumalanga"
2005,"Male",0.0068834418363592,0.008604302295449,0.0051625813772694,"Mpumalanga"
2006,"Female",0.00456237995829602,0.00570297494787003,0.00342178496872202,"Mpumalanga"
2006,"Male",0.00734176814697431,0.00917721018371788,0.00550632611023073,"Mpumalanga"
2007,"Female",0.00420926526672827,0.00526158158341033,0.0031569489500462,"Mpumalanga"
2007,"Male",0.00715010361220806,0.00893762951526008,0.00536257770915605,"Mpumalanga"
2008,"Female",0.00409274605333474,0.00511593256666842,0.00306955954000105,"Mpumalanga"
2008,"Male",0.0069624094289628,0.0087030117862035,0.0052218070717221,"Mpumalanga"
2009,"Female",0.00363876170228971,0.00454845212786213,0.00272907127671728,"Mpumalanga"
2009,"Male",0.00656910932990412,0.00821138666238014,0.00492683199742809,"Mpumalanga"
2010,"Female",0.00293890123643703,0.00367362654554628,0.00220417592732777,"Mpumalanga"
2010,"Male",0.00565521156376573,0.00706901445470716,0.00424140867282429,"Mpumalanga"
2011,"Female",0.00239233658866381,0.00299042073582976,0.00179425244149785,"Mpumalanga"
2011,"Male",0.00469635270994689,0.00587044088743361,0.00352226453246017,"Mpumalanga"
2012,"Female",0.00222842514303705,0.00278553142879631,0.00167131885727779,"Mpumalanga"
2012,"Male",0.00426844791732319,0.00533555989665399,0.00320133593799239,"Mpumalanga"
2013,"Female",0.00203796609653489,0.00254745762066862,0.00152847457240117,"Mpumalanga"
2013,"Male",0.0040009272214504,0.005001159026813,0.0030006954160878,"Mpumalanga"
2014,"Female",0.0019245214537359,0.00240565181716988,0.00144339109030193,"Mpumalanga"
2014,"Male",0.00376904787619655,0.00471130984524569,0.00282678590714741,"Mpumalanga"
2015,"Female",0.001841658761382,0.0023020734517275,0.0013812440710365,"Mpumalanga"
2015,"Male",0.00357179495067003,0.00446474368833754,0.00267884621300252,"Mpumalanga"
2016,"Female",0.00178644577106769,0.00223305721383461,0.00133983432830077,"Mpumalanga"
2016,"Male",0.0033878375907678,0.00423479698845975,0.00254087819307585,"Mpumalanga"
2017,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2017,"Male",0.00345743321193884,0.00432179151492355,0.00259307490895413,"Mpumalanga"
2018,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2019,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2020,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2021,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2022,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2023,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
2024,"Female",0.00174604749679765,0.00218255937099707,0.00130953562259824,"Mpumalanga"
