"year","sex","val","region_name","program_id","max","min"
1990,"Female",0.00187946584082388,"Eastern Cape","1",0.00234933230102985,0.00140959938061791
1990,"Female",0.00392383303676966,"Free State","1",0.00490479129596208,0.00294287477757725
1990,"Female",0.00291378807796996,"Gauteng","1",0.00364223509746245,0.00218534105847747
1990,"Female",0.00648059646922822,"KwaZulu-Natal","1",0.00810074558653527,0.00486044735192116
1990,"Female",0.00176679731145188,"Limpopo","1",0.00220849663931485,0.00132509798358891
1990,"Female",0.00288189788206076,"Mpumalanga","1",0.00360237235257595,0.00216142341154557
1990,"Female",0.00487947059519633,"North-West","1",0.00609933824399541,0.00365960294639725
1990,"Female",0.00188940413876322,"Northern Cape","1",0.00236175517345402,0.00141705310407241
1990,"Female",0.00041004260747448,"Western Cape","1",0.0005125532593431,0.00030753195560586
1990,"Male",0.00120606395988153,"Eastern Cape","1",0.00150757994985192,0.000904547969911149
1990,"Male",0.002430156877939,"Free State","1",0.00303769609742375,0.00182261765845425
1990,"Male",0.00180483203083288,"Gauteng","1",0.00225604003854111,0.00135362402312466
1990,"Male",0.00413775176427002,"KwaZulu-Natal","1",0.00517218970533752,0.00310331382320251
1990,"Male",0.00112893135745194,"Limpopo","1",0.00141116419681493,0.000846698518088957
1990,"Male",0.00180492860296908,"Mpumalanga","1",0.00225616075371134,0.00135369645222681
1990,"Male",0.00305919270378621,"North-West","1",0.00382399087973277,0.00229439452783966
1990,"Male",0.00117351589892801,"Northern Cape","1",0.00146689487366002,0.00088013692419601
1990,"Male",0.000252847784208819,"Western Cape","1",0.000316059730261024,0.000189635838156614
1991,"Female",0.00322603894957271,"Eastern Cape","1",0.00403254868696589,0.00241952921217953
1991,"Female",0.00658228080006367,"Free State","1",0.00822785100007959,0.00493671060004775
1991,"Female",0.00519731181848153,"Gauteng","1",0.00649663977310191,0.00389798386386115
1991,"Female",0.0104911900851023,"KwaZulu-Natal","1",0.0131139876063779,0.00786839256382671
1991,"Female",0.00286730406123294,"Limpopo","1",0.00358413007654117,0.0021504780459247
1991,"Female",0.00505981798912899,"Mpumalanga","1",0.00632477248641124,0.00379486349184674
1991,"Female",0.00743913258999104,"North-West","1",0.0092989157374888,0.00557934944249328
1991,"Female",0.00297355222757195,"Northern Cape","1",0.00371694028446494,0.00223016417067896
1991,"Female",0.000694640227715811,"Western Cape","1",0.000868300284644764,0.000520980170786859
1991,"Male",0.00207424326092824,"Eastern Cape","1",0.00259280407616029,0.00155568244569618
1991,"Male",0.00408413524988155,"Free State","1",0.00510516906235193,0.00306310143741116
1991,"Male",0.0032266719211774,"Gauteng","1",0.00403333990147174,0.00242000394088305
1991,"Male",0.00672618271982342,"KwaZulu-Natal","1",0.00840772839977928,0.00504463703986757
1991,"Male",0.00183400948909387,"Limpopo","1",0.00229251186136733,0.0013755071168204
1991,"Male",0.00317679519769685,"Mpumalanga","1",0.00397099399712106,0.00238259639827264
1991,"Male",0.00468098954445636,"North-West","1",0.00585123693057044,0.00351074215834227
1991,"Male",0.00185084515644566,"Northern Cape","1",0.00231355644555707,0.00138813386733424
1991,"Male",0.000428728607028055,"Western Cape","1",0.000535910758785069,0.000321546455271041
1992,"Female",0.00531927647920529,"Eastern Cape","1",0.00664909559900661,0.00398945735940396
1992,"Female",0.0104059405392446,"Free State","1",0.0130074256740558,0.00780445540443349
1992,"Female",0.00875453692591345,"Gauteng","1",0.0109431711573918,0.00656590269443509
1992,"Female",0.0158935342802973,"KwaZulu-Natal","1",0.0198669178503716,0.011920150710223
1992,"Female",0.00445967034580919,"Limpopo","1",0.00557458793226148,0.00334475275935689
1992,"Female",0.00840597974990223,"Mpumalanga","1",0.0105074746873778,0.00630448481242667
1992,"Female",0.0107540583820825,"North-West","1",0.0134425729776031,0.00806554378656188
1992,"Female",0.0044680425431809,"Northern Cape","1",0.00558505317897612,0.00335103190738567
1992,"Female",0.00114078876643211,"Western Cape","1",0.00142598595804014,0.000855591574824081
1992,"Male",0.00342849235400748,"Eastern Cape","1",0.00428561544250936,0.00257136926550561
1992,"Male",0.00647709944064292,"Free State","1",0.00809637430080365,0.00485782458048219
1992,"Male",0.0054548128673016,"Gauteng","1",0.006818516084127,0.0040911096504762
1992,"Male",0.0102450805551309,"KwaZulu-Natal","1",0.0128063506939136,0.00768381041634819
1992,"Male",0.0028568981205636,"Limpopo","1",0.0035711226507045,0.0021426735904227
1992,"Male",0.00529775072205936,"Mpumalanga","1",0.0066221884025742,0.00397331304154452
1992,"Male",0.0067987084566779,"North-West","1",0.00849838557084738,0.00509903134250843
1992,"Male",0.00278543874673228,"Northern Cape","1",0.00348179843341535,0.00208907906004921
1992,"Male",0.00070518320559464,"Western Cape","1",0.0008814790069933,0.00052888740419598
1993,"Female",0.008317139021262,"Eastern Cape","1",0.0103964237765775,0.0062378542659465
1993,"Female",0.0152927362439097,"Free State","1",0.0191159203048871,0.0114695521829323
1993,"Female",0.0136667236256164,"Gauteng","1",0.0170834045320206,0.0102500427192123
1993,"Female",0.0222811264007552,"KwaZulu-Natal","1",0.027851408000944,0.0167108448005664
1993,"Female",0.00659184162537271,"Limpopo","1",0.00823980203171588,0.00494388121902953
1993,"Female",0.0130127291726782,"Mpumalanga","1",0.0162659114658478,0.00975954687950865
1993,"Female",0.0146390073021736,"North-West","1",0.018298759127717,0.0109792554766302
1993,"Female",0.006341632574477,"Northern Cape","1",0.00792704071809624,0.00475622443085775
1993,"Female",0.00180215426960876,"Western Cape","1",0.00225269283701095,0.00135161570220657
