"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
291705,150,8,25,3,4,4,3,6,3,5,309202.337938093,147776.305094208
291706,150,8,25,3,4,4,3,6,3,14,307831.439901766,148573.630437874
291707,150,8,25,3,4,4,3,6,3,17,306230.782465495,145229.82065934
291708,150,8,25,3,4,4,3,6,3,35,308513.582354296,149383.918453195
291709,150,8,25,3,4,4,3,6,3,39,306558.407302817,146806.498612797
291710,150,8,25,3,4,4,3,6,5,5,319209.782404438,152721.140439565
291711,150,8,25,3,4,4,3,6,5,14,317838.884368111,153518.465783231
291712,150,8,25,3,4,4,3,6,5,17,316238.226931839,150174.656004697
291713,150,8,25,3,4,4,3,6,5,35,318521.026820641,154328.753798551
291714,150,8,25,3,4,4,3,6,5,39,316565.851769162,151751.333958154
291715,150,8,25,3,4,4,3,6,27,5,319215.367131503,155724.809987558
291716,150,8,25,3,4,4,3,6,27,14,317844.469095177,156522.135331224
291717,150,8,25,3,4,4,3,6,27,17,316243.811658905,153178.32555269
291718,150,8,25,3,4,4,3,6,27,35,318526.611547706,157332.423346544
291719,150,8,25,3,4,4,3,6,27,39,316571.436496227,154755.003506147
291720,150,8,25,3,4,4,3,6,40,5,314377.631953989,150421.451944492
291721,150,8,25,3,4,4,3,6,40,14,313006.733917663,151218.777288158
291722,150,8,25,3,4,4,3,6,40,17,311406.076481391,147874.967509624
291723,150,8,25,3,4,4,3,6,40,35,313688.876370192,152029.065303478
291724,150,8,25,3,4,4,3,6,40,39,311733.701318713,149451.645463081
291725,150,8,25,3,4,4,3,29,3,5,310181.470743804,148723.912443115
291726,150,8,25,3,4,4,3,29,3,14,308810.572707477,149521.237786781
291727,150,8,25,3,4,4,3,29,3,17,307209.915271205,146177.428008247
291728,150,8,25,3,4,4,3,29,3,35,309492.715160007,150331.525802102
291729,150,8,25,3,4,4,3,29,3,39,307537.540108527,147754.105961704
291730,150,8,25,3,4,4,3,29,5,5,320188.915210148,153668.747788471
291731,150,8,25,3,4,4,3,29,5,14,318818.017173822,154466.073132137
291732,150,8,25,3,4,4,3,29,5,17,317217.35973755,151122.263353603
291733,150,8,25,3,4,4,3,29,5,35,319500.159626351,155276.361147458
291734,150,8,25,3,4,4,3,29,5,39,317544.984574872,152698.94130706
291735,150,8,25,3,4,4,3,29,27,5,320194.499937214,156672.417336464
291736,150,8,25,3,4,4,3,29,27,14,318823.601900887,157469.74268013
291737,150,8,25,3,4,4,3,29,27,17,317222.944464615,154125.932901596
291738,150,8,25,3,4,4,3,29,27,35,319505.744353417,158280.030695451
291739,150,8,25,3,4,4,3,29,27,39,317550.569301938,155702.610855053
291740,150,8,25,3,4,4,3,29,40,5,315356.7647597,151369.059293398
291741,150,8,25,3,4,4,3,29,40,14,313985.866723373,152166.384637065
291742,150,8,25,3,4,4,3,29,40,17,312385.209287101,148822.57485853
291743,150,8,25,3,4,4,3,29,40,35,314668.009175903,152976.672652385
291744,150,8,25,3,4,4,3,29,40,39,312712.834124424,150399.252811988
291745,150,8,25,3,4,4,5,6,3,5,321119.888879736,152871.085253633
291746,150,8,25,3,4,4,5,6,3,14,319748.99084341,153668.4105973
291747,150,8,25,3,4,4,5,6,3,17,318148.333407138,150324.600818766
291748,150,8,25,3,4,4,5,6,3,35,320431.133295939,154478.69861262
291749,150,8,25,3,4,4,5,6,3,39,318475.95824446,151901.278772223
291750,150,8,25,3,4,4,5,6,5,5,331127.333346081,157815.92059899
291751,150,8,25,3,4,4,5,6,5,14,329756.435309755,158613.245942656
291752,150,8,25,3,4,4,5,6,5,17,328155.777873483,155269.436164122
291753,150,8,25,3,4,4,5,6,5,35,330438.577762284,159423.533957976
291754,150,8,25,3,4,4,5,6,5,39,328483.402710805,156846.114117579
291755,150,8,25,3,4,4,5,6,27,5,331132.918073146,160819.590146983
291756,150,8,25,3,4,4,5,6,27,14,329762.02003682,161616.915490649
291757,150,8,25,3,4,4,5,6,27,17,328161.362600548,158273.105712115
291758,150,8,25,3,4,4,5,6,27,35,330444.162489349,162427.20350597
291759,150,8,25,3,4,4,5,6,27,39,328488.98743787,159849.783665572
291760,150,8,25,3,4,4,5,6,40,5,326295.182895632,155516.232103917
291761,150,8,25,3,4,4,5,6,40,14,324924.284859306,156313.557447583
291762,150,8,25,3,4,4,5,6,40,17,323323.627423034,152969.747669049
291763,150,8,25,3,4,4,5,6,40,35,325606.427311835,157123.845462904
291764,150,8,25,3,4,4,5,6,40,39,323651.252260356,154546.425622506
291765,150,8,25,3,4,4,5,29,3,5,322099.021685447,153818.69260254
291766,150,8,25,3,4,4,5,29,3,14,320728.12364912,154616.017946206
291767,150,8,25,3,4,4,5,29,3,17,319127.466212849,151272.208167672
291768,150,8,25,3,4,4,5,29,3,35,321410.26610165,155426.305961527
291769,150,8,25,3,4,4,5,29,3,39,319455.091050171,152848.886121129
291770,150,8,25,3,4,4,5,29,5,5,332106.466151792,158763.527947896
291771,150,8,25,3,4,4,5,29,5,14,330735.568115465,159560.853291563
291772,150,8,25,3,4,4,5,29,5,17,329134.910679193,156217.043513028
291773,150,8,25,3,4,4,5,29,5,35,331417.710567995,160371.141306883
291774,150,8,25,3,4,4,5,29,5,39,329462.535516515,157793.721466486
291775,150,8,25,3,4,4,5,29,27,5,332112.050878857,161767.197495889
291776,150,8,25,3,4,4,5,29,27,14,330741.152842531,162564.522839556
291777,150,8,25,3,4,4,5,29,27,17,329140.495406259,159220.713061022
291778,150,8,25,3,4,4,5,29,27,35,331423.29529506,163374.810854876
291779,150,8,25,3,4,4,5,29,27,39,329468.120243581,160797.391014479
291780,150,8,25,3,4,4,5,29,40,5,327274.315701343,156463.839452824
291781,150,8,25,3,4,4,5,29,40,14,325903.417665017,157261.16479649
291782,150,8,25,3,4,4,5,29,40,17,324302.760228745,153917.355017956
291783,150,8,25,3,4,4,5,29,40,35,326585.560117546,158071.45281181
291784,150,8,25,3,4,4,5,29,40,39,324630.385066067,155494.032971413
291785,150,8,25,3,4,4,9,6,3,5,321347.035509954,158269.920636644
291786,150,8,25,3,4,4,9,6,3,14,319976.137473628,159067.24598031
291787,150,8,25,3,4,4,9,6,3,17,318375.480037356,155723.436201776
291788,150,8,25,3,4,4,9,6,3,35,320658.279926157,159877.53399563
291789,150,8,25,3,4,4,9,6,3,39,318703.104874678,157300.114155233
291790,150,8,25,3,4,4,9,6,5,5,331354.479976299,163214.755982
291791,150,8,25,3,4,4,9,6,5,14,329983.581939972,164012.081325666
291792,150,8,25,3,4,4,9,6,5,17,328382.9245037,160668.271547132
291793,150,8,25,3,4,4,9,6,5,35,330665.724392502,164822.369340987
291794,150,8,25,3,4,4,9,6,5,39,328710.549341023,162244.949500589
291795,150,8,25,3,4,4,9,6,27,5,331360.064703364,166218.425529993
291796,150,8,25,3,4,4,9,6,27,14,329989.166667038,167015.750873659
291797,150,8,25,3,4,4,9,6,27,17,328388.509230766,163671.941095125
291798,150,8,25,3,4,4,9,6,27,35,330671.309119567,167826.03888898
291799,150,8,25,3,4,4,9,6,27,39,328716.134068088,165248.619048582
291800,150,8,25,3,4,4,9,6,40,5,326522.32952585,160915.067486927
291801,150,8,25,3,4,4,9,6,40,14,325151.431489524,161712.392830593
291802,150,8,25,3,4,4,9,6,40,17,323550.774053252,158368.583052059
291803,150,8,25,3,4,4,9,6,40,35,325833.573942053,162522.680845914
291804,150,8,25,3,4,4,9,6,40,39,323878.398890574,159945.261005516
291805,150,8,25,3,4,4,9,29,3,5,322326.168315665,159217.52798555
291806,150,8,25,3,4,4,9,29,3,14,320955.270279338,160014.853329217
291807,150,8,25,3,4,4,9,29,3,17,319354.612843066,156671.043550682
291808,150,8,25,3,4,4,9,29,3,35,321637.412731868,160825.141344537
291809,150,8,25,3,4,4,9,29,3,39,319682.237680389,158247.72150414
291810,150,8,25,3,4,4,9,29,5,5,332333.612782009,164162.363330907
291811,150,8,25,3,4,4,9,29,5,14,330962.714745683,164959.688674573
291812,150,8,25,3,4,4,9,29,5,17,329362.057309411,161615.878896039
291813,150,8,25,3,4,4,9,29,5,35,331644.857198212,165769.976689893
291814,150,8,25,3,4,4,9,29,5,39,329689.682146733,163192.556849496
291815,150,8,25,3,4,4,9,29,27,5,332339.197509075,167166.0328789
291816,150,8,25,3,4,4,9,29,27,14,330968.299472748,167963.358222566
291817,150,8,25,3,4,4,9,29,27,17,329367.642036476,164619.548444032
291818,150,8,25,3,4,4,9,29,27,35,331650.441925278,168773.646237886
291819,150,8,25,3,4,4,9,29,27,39,329695.266873799,166196.226397489
291820,150,8,25,3,4,4,9,29,40,5,327501.462331561,161862.674835834
291821,150,8,25,3,4,4,9,29,40,14,326130.564295234,162660.0001795
291822,150,8,25,3,4,4,9,29,40,17,324529.906858962,159316.190400966
291823,150,8,25,3,4,4,9,29,40,35,326812.706747764,163470.28819482
291824,150,8,25,3,4,4,9,29,40,39,324857.531696285,160892.868354423
291825,150,8,25,3,4,4,22,6,3,5,316949.016432746,151291.050501471
291826,150,8,25,3,4,4,22,6,3,14,315578.11839642,152088.375845138
291827,150,8,25,3,4,4,22,6,3,17,313977.460960148,148744.566066604
291828,150,8,25,3,4,4,22,6,3,35,316260.260848949,152898.663860458
291829,150,8,25,3,4,4,22,6,3,39,314305.08579747,150321.244020061
291830,150,8,25,3,4,4,22,6,5,5,326956.460899091,156235.885846828
291831,150,8,25,3,4,4,22,6,5,14,325585.562862765,157033.211190494
291832,150,8,25,3,4,4,22,6,5,17,323984.905426493,153689.40141196
291833,150,8,25,3,4,4,22,6,5,35,326267.705315294,157843.499205814
291834,150,8,25,3,4,4,22,6,5,39,324312.530263815,155266.079365417
