"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1652472,357,14,25,18,3,39,3,34,35,17,261156.855388777,141982.527836968
1652473,357,14,25,18,3,39,3,34,35,21,261573.994473746,142480.480335426
1652474,357,14,25,18,3,39,5,34,3,17,263339.804623665,139090.946778942
1652475,357,14,25,18,3,39,5,34,3,21,263756.943708634,139588.8992774
1652476,357,14,25,18,3,39,5,34,5,17,273048.78253928,143883.26594997
1652477,357,14,25,18,3,39,5,34,5,21,273465.921624249,144381.218448428
1652478,357,14,25,18,3,39,5,34,14,17,270785.096456962,145940.935542264
1652479,357,14,25,18,3,39,5,34,14,21,271202.235541931,146438.888040722
1652480,357,14,25,18,3,39,5,34,21,17,266933.245172356,141597.361044171
1652481,357,14,25,18,3,39,5,34,21,21,267350.384257325,142095.31354263
1652482,357,14,25,18,3,39,5,34,35,17,272607.132370634,146853.443021731
1652483,357,14,25,18,3,39,5,34,35,21,273024.271455603,147351.395520189
1652484,357,14,25,18,3,39,9,34,3,17,263489.786890837,143824.447103784
1652485,357,14,25,18,3,39,9,34,3,21,263906.925975806,144322.399602243
1652486,357,14,25,18,3,39,9,34,5,17,273198.764806452,148616.766274812
1652487,357,14,25,18,3,39,9,34,5,21,273615.903891421,149114.71877327
1652488,357,14,25,18,3,39,9,34,14,17,270935.078724134,150674.435867106
1652489,357,14,25,18,3,39,9,34,14,21,271352.217809103,151172.388365564
1652490,357,14,25,18,3,39,9,34,21,17,267083.227439528,146330.861369014
1652491,357,14,25,18,3,39,9,34,21,21,267500.366524497,146828.813867472
1652492,357,14,25,18,3,39,9,34,35,17,272757.114637806,151586.943346573
1652493,357,14,25,18,3,39,9,34,35,21,273174.253722775,152084.895845031
1652494,357,14,25,18,3,39,10,34,3,17,252007.400829022,137233.194036257
1652495,357,14,25,18,3,39,10,34,3,21,252424.539913991,137731.146534716
1652496,357,14,25,18,3,39,10,34,5,17,261716.378744637,142025.513207285
1652497,357,14,25,18,3,39,10,34,5,21,262133.517829606,142523.465705743
1652498,357,14,25,18,3,39,10,34,14,17,259452.692662319,144083.182799579
1652499,357,14,25,18,3,39,10,34,14,21,259869.831747288,144581.135298037
1652500,357,14,25,18,3,39,10,34,21,17,255600.841377713,139739.608301487
1652501,357,14,25,18,3,39,10,34,21,21,256017.980462682,140237.560799945
1652502,357,14,25,18,3,39,10,34,35,17,261274.728575991,144995.690279046
