"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1656761,359,6,23,2,5,7,8,34,17,7,331082.175533308,164440.667397921
1656762,359,6,23,2,5,7,8,34,17,21,330432.914384994,162507.240050252
1656763,359,6,23,2,5,7,8,34,17,23,331363.076809579,163500.305723028
1656764,359,6,23,2,5,7,8,34,20,7,336119.632269597,168597.400194665
1656765,359,6,23,2,5,7,8,34,20,21,335470.371121283,166663.972846996
1656766,359,6,23,2,5,7,8,34,20,23,336400.533545867,167657.038519772
1656767,359,6,23,2,5,7,8,34,27,7,337892.054373627,170078.301375461
1656768,359,6,23,2,5,7,8,34,27,21,337242.793225314,168144.874027792
1656769,359,6,23,2,5,7,8,34,27,23,338172.955649898,169137.939700569
1656770,359,6,23,2,5,7,8,34,29,7,338185.739273534,169919.583669723
1656771,359,6,23,2,5,7,8,34,29,21,337536.47812522,167986.156322054
1656772,359,6,23,2,5,7,8,34,29,23,338466.640549804,168979.221994831
1656773,359,6,23,2,5,7,17,34,17,7,319709.975403567,155861.258772827
1656774,359,6,23,2,5,7,17,34,17,21,319060.714255253,153927.831425158
1656775,359,6,23,2,5,7,17,34,17,23,319990.876679837,154920.897097935
1656776,359,6,23,2,5,7,17,34,20,7,324747.432139855,160017.991569571
1656777,359,6,23,2,5,7,17,34,20,21,324098.170991542,158084.564221902
1656778,359,6,23,2,5,7,17,34,20,23,325028.333416126,159077.629894679
1656779,359,6,23,2,5,7,17,34,27,7,326519.854243886,161498.892750368
1656780,359,6,23,2,5,7,17,34,27,21,325870.593095572,159565.465402699
1656781,359,6,23,2,5,7,17,34,27,23,326800.755520156,160558.531075475
1656782,359,6,23,2,5,7,17,34,29,7,326813.539143792,161340.17504463
1656783,359,6,23,2,5,7,17,34,29,21,326164.277995478,159406.747696961
1656784,359,6,23,2,5,7,17,34,29,23,327094.440420063,160399.813369737
1656785,359,6,23,2,5,7,24,34,17,7,325443.733550583,159284.558766611
1656786,359,6,23,2,5,7,24,34,17,21,324794.47240227,157351.131418942
1656787,359,6,23,2,5,7,24,34,17,23,325724.634826854,158344.197091718
1656788,359,6,23,2,5,7,24,34,20,7,330481.190286872,163441.291563355
1656789,359,6,23,2,5,7,24,34,20,21,329831.929138558,161507.864215686
