"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1674745,375,17,17,3,5,17,3,16,17,21,293666.846998711,131012.835344741
1674746,375,17,17,3,5,17,3,16,17,23,294472.793770148,131965.136985252
1674747,375,17,17,3,5,17,3,16,25,21,298562.158624616,135199.980644042
1674748,375,17,17,3,5,17,3,16,25,23,299368.105396053,136152.282284554
1674749,375,17,17,3,5,17,3,16,27,21,300378.053223484,136828.876067378
1674750,375,17,17,3,5,17,3,16,27,23,301183.999994921,137781.177707889
1674751,375,17,17,3,5,17,3,16,28,21,296305.627541667,133148.080223749
1674752,375,17,17,3,5,17,3,16,28,23,297111.574313104,134100.38186426
1674753,375,17,17,3,5,17,3,16,30,21,297483.165762147,133732.528859893
1674754,375,17,17,3,5,17,3,16,30,23,298289.112533585,134684.830500405
1674755,375,17,17,3,5,17,3,34,17,21,293766.349734884,131223.885230781
1674756,375,17,17,3,5,17,3,34,17,23,294572.296506321,132176.186871292
1674757,375,17,17,3,5,17,3,34,25,21,298661.661360789,135411.030530082
1674758,375,17,17,3,5,17,3,34,25,23,299467.608132226,136363.332170593
1674759,375,17,17,3,5,17,3,34,27,21,300477.555959657,137039.925953417
1674760,375,17,17,3,5,17,3,34,27,23,301283.502731094,137992.227593929
1674761,375,17,17,3,5,17,3,34,28,21,296405.13027784,133359.130109788
1674762,375,17,17,3,5,17,3,34,28,23,297211.077049277,134311.4317503
1674763,375,17,17,3,5,17,3,34,30,21,297582.668498321,133943.578745933
1674764,375,17,17,3,5,17,3,34,30,23,298388.615269758,134895.880386444
1674765,375,17,17,3,5,17,5,16,17,21,305898.478709186,136053.879633951
1674766,375,17,17,3,5,17,5,16,17,23,306704.425480624,137006.181274462
1674767,375,17,17,3,5,17,5,16,25,21,310793.790335091,140241.024933252
1674768,375,17,17,3,5,17,5,16,25,23,311599.737106529,141193.326573763
1674769,375,17,17,3,5,17,5,16,27,21,312609.684933959,141869.920356587
1674770,375,17,17,3,5,17,5,16,27,23,313415.631705397,142822.221997099
1674771,375,17,17,3,5,17,5,16,28,21,308537.259252142,138189.124512958
1674772,375,17,17,3,5,17,5,16,28,23,309343.20602358,139141.42615347
1674773,375,17,17,3,5,17,5,16,30,21,309714.797472623,138773.573149103
1674774,375,17,17,3,5,17,5,16,30,23,310520.74424406,139725.874789614
1674775,375,17,17,3,5,17,5,34,17,21,305997.981445359,136264.92951999
1674776,375,17,17,3,5,17,5,34,17,23,306803.928216797,137217.231160502
1674777,375,17,17,3,5,17,5,34,25,21,310893.293071264,140452.074819292
1674778,375,17,17,3,5,17,5,34,25,23,311699.239842702,141404.376459803
1674779,375,17,17,3,5,17,5,34,27,21,312709.187670132,142080.970242627
1674780,375,17,17,3,5,17,5,34,27,23,313515.13444157,143033.271883138
1674781,375,17,17,3,5,17,5,34,28,21,308636.761988315,138400.174398998
1674782,375,17,17,3,5,17,5,34,28,23,309442.708759753,139352.476039509
1674783,375,17,17,3,5,17,5,34,30,21,309814.300208796,138984.623035143
1674784,375,17,17,3,5,17,5,34,30,23,310620.246980233,139936.924675654
1674785,375,17,17,3,5,17,9,16,17,21,306085.338921622,141890.022909947
1674786,375,17,17,3,5,17,9,16,17,23,306891.285693059,142842.324550458
