"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
1741909,390,8,30,3,4,5,3,16,4,7,323689.816275821,151706.435252699
1741910,390,8,30,3,4,5,3,16,4,17,322675.446702268,149270.235719381
1741911,390,8,30,3,4,5,3,16,4,22,324419.22733652,150661.599478776
1741912,390,8,30,3,4,5,3,16,4,23,323819.236417716,150594.746728459
1741913,390,8,30,3,4,5,3,16,17,7,317433.683616304,148730.060611192
1741914,390,8,30,3,4,5,3,16,17,17,316419.314042751,146293.861077874
1741915,390,8,30,3,4,5,3,16,17,22,318163.094677002,147685.22483727
1741916,390,8,30,3,4,5,3,16,17,23,317563.103758198,147618.372086953
1741917,390,8,30,3,4,5,3,16,25,7,322403.061174212,152841.880171018
1741918,390,8,30,3,4,5,3,16,25,17,321388.691600659,150405.6806377
1741919,390,8,30,3,4,5,3,16,25,22,323132.47223491,151797.044397095
1741920,390,8,30,3,4,5,3,16,25,23,322532.481316106,151730.191646778
1741921,390,8,30,3,4,5,3,16,27,7,324350.593378562,154426.840185591
1741922,390,8,30,3,4,5,3,16,27,17,323336.223805009,151990.640652273
1741923,390,8,30,3,4,5,3,16,27,22,325080.00443926,153382.004411669
1741924,390,8,30,3,4,5,3,16,27,23,324480.013520456,153315.151661352
1741925,390,8,30,3,4,5,3,16,28,7,320327.997478263,150775.788563881
1741926,390,8,30,3,4,5,3,16,28,17,319313.62790471,148339.589030563
1741927,390,8,30,3,4,5,3,16,28,22,321057.408538962,149730.952789959
1741928,390,8,30,3,4,5,3,16,28,23,320457.417620157,149664.100039642
1741929,390,8,30,3,4,5,3,34,4,7,323824.893742057,151899.942325544
1741930,390,8,30,3,4,5,3,34,4,17,322810.524168504,149463.742792226
1741931,390,8,30,3,4,5,3,34,4,22,324554.304802755,150855.106551621
1741932,390,8,30,3,4,5,3,34,4,23,323954.313883951,150788.253801304
1741933,390,8,30,3,4,5,3,34,17,7,317568.761082539,148923.567684038
1741934,390,8,30,3,4,5,3,34,17,17,316554.391508986,146487.36815072
1741935,390,8,30,3,4,5,3,34,17,22,318298.172143238,147878.731910115
1741936,390,8,30,3,4,5,3,34,17,23,317698.181224434,147811.879159798
1741937,390,8,30,3,4,5,3,34,25,7,322538.138640447,153035.387243863
1741938,390,8,30,3,4,5,3,34,25,17,321523.769066895,150599.187710545
1741939,390,8,30,3,4,5,3,34,25,22,323267.549701146,151990.55146994
1741940,390,8,30,3,4,5,3,34,25,23,322667.558782342,151923.698719623
1741941,390,8,30,3,4,5,3,34,27,7,324485.670844797,154620.347258437
1741942,390,8,30,3,4,5,3,34,27,17,323471.301271244,152184.147725119
