"sim_id","general_sim_id","region_id_1_sim_id","region_id_2_sim_id","region_id_3_sim_id","region_id_4_sim_id","region_id_5_sim_id","region_id_6_sim_id","region_id_7_sim_id","region_id_8_sim_id","region_id_9_sim_id","total_disease_mort_SA_2005","total_disease_mort_SA_2017"
2379689,481,6,17,3,3,7,8,33,8,7,247369.213888107,126416.615888889
2379690,481,6,17,3,3,7,8,33,8,12,246922.167223318,126203.944280914
2379691,481,6,17,3,5,6,2,15,8,6,275534.358526761,131645.177548343
2379692,481,6,17,3,5,6,2,15,8,7,275777.459313879,132825.902815108
2379693,481,6,17,3,5,6,2,15,8,12,275330.41264909,132613.231207133
2379694,481,6,17,3,5,6,2,15,8,23,275910.663916028,131953.520168401
2379695,481,6,17,3,5,6,2,15,12,6,267511.731582457,126812.190865869
2379696,481,6,17,3,5,6,2,15,12,7,267754.832369576,127992.916132633
2379697,481,6,17,3,5,6,2,15,12,12,267307.785704787,127780.244524658
2379698,481,6,17,3,5,6,2,15,12,23,267888.036971725,127120.533485926
2379699,481,6,17,3,5,6,2,15,13,6,273915.959524998,128814.495661722
2379700,481,6,17,3,5,6,2,15,13,7,274159.060312117,129995.220928486
2379701,481,6,17,3,5,6,2,15,13,12,273712.013647328,129782.549320512
2379702,481,6,17,3,5,6,2,15,13,23,274292.264914265,129122.838281779
2379703,481,6,17,3,5,6,2,15,30,6,270820.750908649,126728.768832876
2379704,481,6,17,3,5,6,2,15,30,7,271063.851695768,127909.494099641
2379705,481,6,17,3,5,6,2,15,30,12,270616.805030979,127696.822491666
2379706,481,6,17,3,5,6,2,15,30,23,271197.056297917,127037.111452934
2379707,481,6,17,3,5,6,2,15,31,6,274220.944310523,128405.504439027
2379708,481,6,17,3,5,6,2,15,31,7,274464.045097642,129586.229705791
2379709,481,6,17,3,5,6,2,15,31,12,274016.998432853,129373.558097817
2379710,481,6,17,3,5,6,2,15,31,23,274597.249699791,128713.847059084
2379711,481,6,17,3,5,6,2,33,8,6,276862.131666823,132499.873364806
2379712,481,6,17,3,5,6,2,33,8,7,277105.232453942,133680.59863157
2379713,481,6,17,3,5,6,2,33,8,12,276658.185789153,133467.927023596
2379714,481,6,17,3,5,6,2,33,8,23,277238.437056091,132808.215984864
2379715,481,6,17,3,5,6,2,33,12,6,268839.50472252,127666.886682331
2379716,481,6,17,3,5,6,2,33,12,7,269082.605509638,128847.611949096
2379717,481,6,17,3,5,6,2,33,12,12,268635.558844849,128634.940341121
2379718,481,6,17,3,5,6,2,33,12,23,269215.810111787,127975.229302389
2379719,481,6,17,3,5,6,2,33,13,6,275243.732665061,129669.191478184
2379720,481,6,17,3,5,6,2,33,13,7,275486.833452179,130849.916744949
2379721,481,6,17,3,5,6,2,33,13,12,275039.78678739,130637.245136974
2379722,481,6,17,3,5,6,2,33,13,23,275620.038054328,129977.534098242
2379723,481,6,17,3,5,6,2,33,17,7,268685.933795729,126251.212182144
2379724,481,6,17,3,5,6,2,33,17,12,268238.887130941,126038.540574169
2379725,481,6,17,3,5,6,2,33,30,6,272148.524048712,127583.464649339
2379726,481,6,17,3,5,6,2,33,30,7,272391.624835831,128764.189916103
2379727,481,6,17,3,5,6,2,33,30,12,271944.578171042,128551.518308129
