"year","sex","expected_total_pop","region_name"
1990,"Female",698628.357986889,"Mpumalanga"
1990,"Male",643091.66869017,"Mpumalanga"
1991,"Female",726299.944914148,"Mpumalanga"
1991,"Male",665141.972696862,"Mpumalanga"
1992,"Female",753909.497812401,"Mpumalanga"
1992,"Male",687515.275751623,"Mpumalanga"
1993,"Female",781533.079283083,"Mpumalanga"
1993,"Male",710702.349205094,"Mpumalanga"
1994,"Female",808961.354801114,"Mpumalanga"
1994,"Male",734671.68876218,"Mpumalanga"
1995,"Female",836022.643907649,"Mpumalanga"
1995,"Male",758945.053029113,"Mpumalanga"
1996,"Female",862780.889977078,"Mpumalanga"
1996,"Male",783372.646279009,"Mpumalanga"
1997,"Female",888313.663428035,"Mpumalanga"
1997,"Male",807496.316357537,"Mpumalanga"
1998,"Female",912550.396200386,"Mpumalanga"
1998,"Male",831342.707173115,"Mpumalanga"
1999,"Female",936131.868600097,"Mpumalanga"
1999,"Male",855191.180405426,"Mpumalanga"
2000,"Female",959450.212086317,"Mpumalanga"
2000,"Male",879552.72290878,"Mpumalanga"
2001,"Female",983519.418912055,"Mpumalanga"
2001,"Male",905625.904303749,"Mpumalanga"
2002,"Female",1009745.34173009,"Mpumalanga"
2002,"Male",934178.118057356,"Mpumalanga"
2003,"Female",1037031.42687737,"Mpumalanga"
2003,"Male",964140.084431668,"Mpumalanga"
2004,"Female",1064892.82950401,"Mpumalanga"
2004,"Male",995349.761435322,"Mpumalanga"
2005,"Female",1093277.70282698,"Mpumalanga"
2005,"Male",1027803.08426608,"Mpumalanga"
2006,"Female",1120487.51769762,"Mpumalanga"
2006,"Male",1060115.68147205,"Mpumalanga"
2007,"Female",1148593.32043958,"Mpumalanga"
2007,"Male",1092587.73097733,"Mpumalanga"
2008,"Female",1177591.04740342,"Mpumalanga"
2008,"Male",1125216.78084761,"Mpumalanga"
2009,"Female",1207294.93751684,"Mpumalanga"
2009,"Male",1158059.42828302,"Mpumalanga"
2010,"Female",1237489.09745402,"Mpumalanga"
2010,"Male",1191464.44493108,"Mpumalanga"
2011,"Female",1267399.14906499,"Mpumalanga"
2011,"Male",1225275.57573402,"Mpumalanga"
2012,"Female",1297297.17534269,"Mpumalanga"
2012,"Male",1259280.16814293,"Mpumalanga"
2013,"Female",1326831.96079832,"Mpumalanga"
2013,"Male",1292966.92547454,"Mpumalanga"
2014,"Female",1355560.92961618,"Mpumalanga"
2014,"Male",1325983.92114539,"Mpumalanga"
2015,"Female",1383267.44817566,"Mpumalanga"
2015,"Male",1358119.35543232,"Mpumalanga"
2016,"Female",1409751.18616042,"Mpumalanga"
2016,"Male",1388976.73887696,"Mpumalanga"
2017,"Female",1435401.20264691,"Mpumalanga"
2017,"Male",1418636.03894962,"Mpumalanga"
2018,"Female",1460731.30915689,"Mpumalanga"
2018,"Male",1447602.71669349,"Mpumalanga"
2019,"Female",1486082.17752996,"Mpumalanga"
2019,"Male",1476555.80044148,"Mpumalanga"
1990,"Female",1096637.9482088,"Western Cape"
1990,"Male",1083796.45490855,"Western Cape"
1991,"Female",1130015.18810848,"Western Cape"
1991,"Male",1112633.79699033,"Western Cape"
1992,"Female",1163830.64742338,"Western Cape"
1992,"Male",1141488.90373988,"Western Cape"
1993,"Female",1198280.55702402,"Western Cape"
1993,"Male",1171389.6954307,"Western Cape"
1994,"Female",1233646.83029684,"Western Cape"
1994,"Male",1202266.55193271,"Western Cape"
1995,"Female",1270753.07388626,"Western Cape"
1995,"Male",1233355.37272995,"Western Cape"
1996,"Female",1310483.40664577,"Western Cape"
1996,"Male",1265425.02816114,"Western Cape"
1997,"Female",1352565.09952514,"Western Cape"
1997,"Male",1297864.86989314,"Western Cape"
1998,"Female",1395927.02295573,"Western Cape"
1998,"Male",1331426.95754288,"Western Cape"
1999,"Female",1441059.88776319,"Western Cape"
1999,"Male",1367217.98057998,"Western Cape"
2000,"Female",1487353.76398265,"Western Cape"
2000,"Male",1405019.2178807,"Western Cape"
2001,"Female",1533919.85402531,"Western Cape"
2001,"Male",1445278.25132064,"Western Cape"
2002,"Female",1580825.10166056,"Western Cape"
2002,"Male",1488113.27040502,"Western Cape"
2003,"Female",1627477.1262659,"Western Cape"
2003,"Male",1532937.37766282,"Western Cape"
2004,"Female",1674110.87027367,"Western Cape"
2004,"Male",1579610.7449734,"Western Cape"
2005,"Female",1720809.17076345,"Western Cape"
2005,"Male",1627677.5459124,"Western Cape"
2006,"Female",1764532.63942669,"Western Cape"
2006,"Male",1675443.93814743,"Western Cape"
2007,"Female",1806807.36158863,"Western Cape"
2007,"Male",1722667.01427285,"Western Cape"
2008,"Female",1847281.9543134,"Western Cape"
2008,"Male",1768612.77325495,"Western Cape"
2009,"Female",1885857.52503662,"Western Cape"
2009,"Male",1812905.27505065,"Western Cape"
2010,"Female",1922636.11644918,"Western Cape"
2010,"Male",1855353.65939725,"Western Cape"
2011,"Female",1952932.53100932,"Western Cape"
2011,"Male",1893830.15149257,"Western Cape"
2012,"Female",1980484.6356617,"Western Cape"
2012,"Male",1930448.23965716,"Western Cape"
2013,"Female",2005776.16448134,"Western Cape"
2013,"Male",1965369.60671935,"Western Cape"
2014,"Female",2028703.47458391,"Western Cape"
2014,"Male",1998422.95987551,"Western Cape"
2015,"Female",2049207.43136426,"Western Cape"
2015,"Male",2029251.7511937,"Western Cape"
2016,"Female",2067471.66477094,"Western Cape"
2016,"Male",2057979.57925675,"Western Cape"
2017,"Female",2083842.9950713,"Western Cape"
2017,"Male",2084777.98607654,"Western Cape"
2018,"Female",2098789.33591081,"Western Cape"
2018,"Male",2109713.00043017,"Western Cape"
2019,"Female",2112876.70356114,"Western Cape"
2019,"Male",2133277.32665693,"Western Cape"
1990,"Female",874020.529407126,"North-West"
1990,"Male",854789.361419954,"North-West"
1991,"Female",901716.442159566,"North-West"
1991,"Male",880489.790890715,"North-West"
1992,"Female",928827.870271029,"North-West"
1992,"Male",906550.899935434,"North-West"
1993,"Female",955363.64548595,"North-West"
1993,"Male",933705.899797027,"North-West"
1994,"Female",981405.835527841,"North-West"
1994,"Male",962062.741598571,"North-West"
1995,"Female",1006767.43548396,"North-West"
1995,"Male",992235.912643181,"North-West"
1996,"Female",1032046.12111445,"North-West"
1996,"Male",1024462.97697531,"North-West"
1997,"Female",1057365.64886283,"North-West"
1997,"Male",1057708.59817095,"North-West"
1998,"Female",1081257.70843431,"North-West"
1998,"Male",1090125.88421194,"North-West"
1999,"Female",1102712.05673071,"North-West"
1999,"Male",1120262.84518984,"North-West"
2000,"Female",1119960.27809218,"North-West"
2000,"Male",1146555.49287728,"North-West"
2001,"Female",1132433.03627763,"North-West"
2001,"Male",1168136.27152136,"North-West"
2002,"Female",1139953.60625366,"North-West"
2002,"Male",1183576.74107365,"North-West"
2003,"Female",1142429.89385192,"North-West"
2003,"Male",1193097.12581167,"North-West"
2004,"Female",1140398.13027722,"North-West"
2004,"Male",1197293.80109692,"North-West"
2005,"Female",1134768.59875981,"North-West"
2005,"Male",1196958.49737309,"North-West"
2006,"Female",1124739.99644598,"North-West"
2006,"Male",1192071.95561623,"North-West"
2007,"Female",1112656.15501588,"North-West"
2007,"Male",1183896.03549275,"North-West"
2008,"Female",1099016.29482828,"North-West"
